Geneid	HISAT2 on data 144 and data 1: aligned reads (BAM)
AFUB_006380	31729
AFUB_006390	62
AFUB_006400	4440
AFUB_006410	4992
AFUB_006420	1305
AFUB_006430	1914
AFUB_006440	8676
AFUB_006450	2156
AFUB_006460	1972
AFUB_006470	5995
AFUB_006480	352
AFUB_006490	1833
AFUB_006500	42
AFUB_006510	100
AFUB_006520	48
AFUB_006530	1193
AFUB_006540	7892
AFUB_006550	9111
AFUB_006560	6483
AFUB_006570	9875
AFUB_006580	1192
AFUB_006590	7411
AFUB_006600	1741
AFUB_006610	3722
AFUB_006620	1571
AFUB_006630	913
AFUB_006640	1408
AFUB_006650	444
AFUB_006660	1859
AFUB_006670	3679
AFUB_006680	2977
AFUB_006690	2767
AFUB_006700	6181
AFUB_006710	19300
AFUB_006720	13496
AFUB_006730	2533
AFUB_006740	304
AFUB_006750	1123
AFUB_006760	933
AFUB_006770	178445
AFUB_006780	7414
AFUB_006790	2571
AFUB_006800	865
AFUB_006810	462
AFUB_006820	536
AFUB_006830	228
AFUB_006840	560
AFUB_006850	324
AFUB_006860	177
AFUB_006870	4208
AFUB_006880	767
AFUB_006890	273
AFUB_006900	7044
AFUB_006910	2056
AFUB_006920	838
AFUB_006930	436
AFUB_006940	73
AFUB_006950	3228
AFUB_006960	18308
AFUB_006970	1475
AFUB_006980	7888
AFUB_006990	1564
AFUB_007000	3096
AFUB_007010	2068
AFUB_007020	53
AFUB_007030	188
AFUB_007040	85
AFUB_007050	3098
AFUB_007060	3149
AFUB_007070	6551
AFUB_007080	2028
AFUB_007090	5220
AFUB_007100	7743
AFUB_007110	1857
AFUB_007120	508
AFUB_007130	347
AFUB_007140	1827
AFUB_007150	15660
AFUB_007160	8195
AFUB_007170	13339
AFUB_007180	170
AFUB_007190	1052
AFUB_007200	2124
AFUB_007210	18674
AFUB_007220	972
AFUB_007230	1416
AFUB_007240	3068
AFUB_007250	615
AFUB_007260	1114
AFUB_007270	1667
AFUB_007280	3661
AFUB_007290	228
AFUB_007300	9175
AFUB_007310	1272
AFUB_007320	2898
AFUB_007330	1553
AFUB_007340	17080
AFUB_007350	410
AFUB_007360	6320
AFUB_007370	1499
AFUB_007380	4785
AFUB_007390	1029
AFUB_007400	29
AFUB_007410	292
AFUB_007420	1961
AFUB_007430	3903
AFUB_007440	418
AFUB_007450	14276
AFUB_007460	417
AFUB_007470	5468
AFUB_007480	658
AFUB_007490	4921
AFUB_007500	2762
AFUB_007510	7216
AFUB_007520	2013
AFUB_007530	1147
AFUB_007540	32
AFUB_007550	953
AFUB_007560	1637
AFUB_007570	683
AFUB_007580	4326
AFUB_007590	101
AFUB_007600	1803
AFUB_007610	5721
AFUB_007620	2012
AFUB_007630	387
AFUB_007640	4240
AFUB_007650	1562
AFUB_007660	1355
AFUB_007670	3036
AFUB_007680	37
AFUB_007690	652
AFUB_007700	1975
AFUB_007710	601
AFUB_007720	42
AFUB_007730	5567
AFUB_007740	441
AFUB_007750	1322
AFUB_007760	1159
AFUB_007770	40128
AFUB_007780	8693
AFUB_007790	3688
AFUB_007800	16192
AFUB_007810	5272
AFUB_007820	464
AFUB_007830	2391
AFUB_007840	1511
AFUB_007850	5391
AFUB_007860	4039
AFUB_007865	226
AFUB_007870	39
AFUB_007880	541
AFUB_007890	611
AFUB_007900	921
AFUB_007910	3380
AFUB_007920	644
AFUB_007930	1241
