Geneid	HISAT2 on data 67 and data 1: aligned reads (BAM)
AFUB_008510	810
AFUB_008520	38938
AFUB_008530	653
AFUB_008540	200
AFUB_008550	4093
AFUB_008560	1983
AFUB_008570	4193
AFUB_008580	259
AFUB_008590	1972
AFUB_008600	3038
AFUB_008610	906
AFUB_008620	8912
AFUB_008630	6240
AFUB_008640	374
AFUB_008650	279
AFUB_008660	1492
AFUB_008670	2709
AFUB_008680	153
AFUB_008690	948
AFUB_008700	9231
AFUB_008710	4943
AFUB_008720	17
AFUB_008730	863
AFUB_008740	3957
AFUB_008750	16260
AFUB_008760	84
AFUB_008770	1
AFUB_008780	0
AFUB_008790	0
AFUB_008800	1829
AFUB_008810	540
AFUB_008820	3666
AFUB_008830	678
AFUB_008840	1131
AFUB_008850	5784
AFUB_008860	3121
AFUB_008870	570
AFUB_008880	158
AFUB_008890	24857
AFUB_008900	2526
AFUB_008910	2142
AFUB_008920	2343
AFUB_008930	1369
AFUB_008940	3789
AFUB_008950	10634
AFUB_008960	3243
AFUB_008970	207
AFUB_008980	1492
AFUB_008990	1474
AFUB_009000	867
AFUB_009010	854
AFUB_009020	894
AFUB_009030	4099
AFUB_009040	8775
AFUB_009050	2387
AFUB_009060	3787
AFUB_009070	2341
AFUB_009080	13697
AFUB_009090	3864
AFUB_009100	830
AFUB_009110	2818
AFUB_009120	3819
AFUB_009130	6585
AFUB_009140	2319
AFUB_009150	1152
AFUB_009160	138
AFUB_009170	758
AFUB_009180	3239
AFUB_009190	733
AFUB_009199	422
AFUB_009200	531
AFUB_009210	1008
AFUB_009220	21768
AFUB_009230	4515
AFUB_009240	2360
AFUB_009250	13563
AFUB_009260	1103
AFUB_009270	4278
AFUB_009280	4306
AFUB_009290	10519
AFUB_009300	3841
AFUB_009310	3049
AFUB_009320	181
AFUB_009330	624
AFUB_009340	754
AFUB_009350	655
AFUB_009360	580
AFUB_009370	608
AFUB_009380	10881
AFUB_009390	1526
AFUB_009400	613
AFUB_009410	10350
AFUB_009420	77
AFUB_009430	3894
AFUB_009440	191
AFUB_009450	525
AFUB_009460	5632
AFUB_009470	8799
AFUB_009480	112
AFUB_009490	7520
AFUB_009500	332
AFUB_009510	181
AFUB_009520	66
AFUB_009530	38
AFUB_009540	18534
AFUB_009550	83
AFUB_009560	9
AFUB_009570	4
AFUB_009580	21
AFUB_009590	78
AFUB_009600	2284
AFUB_009610	3874
AFUB_009620	3604
AFUB_009630	3002
AFUB_009640	1008
AFUB_009650	213
AFUB_009660	9
AFUB_009670	5
AFUB_009680	553
AFUB_009690	1240
AFUB_009705	7427
AFUB_009720	16324
AFUB_009730	5011
AFUB_009740	2352
AFUB_009750	1338
AFUB_009760	41314
AFUB_009770	1874
AFUB_009780	2339
AFUB_009790	559
AFUB_009800	10053
AFUB_009810	1620
AFUB_009820	4538
AFUB_009830	891
AFUB_009840	157
AFUB_009850	1308
AFUB_009860	7297
AFUB_009870	2389
AFUB_009880	250
AFUB_009890	0
AFUB_009900	3036
AFUB_009910	300
AFUB_009920	935
AFUB_009930	1396
AFUB_009940	15526
AFUB_009950	2744
AFUB_009960	3221
AFUB_009970	496
AFUB_009980	8875
AFUB_009990	779
AFUB_010000	9626
AFUB_010010	241
AFUB_010020	3395
AFUB_010030	3830
AFUB_010040	2171
AFUB_010050	22210
AFUB_010060	1045
AFUB_010070	403
AFUB_010080	4458
AFUB_010090	1450
AFUB_010100	3455
AFUB_010110	6059
AFUB_010120	632
AFUB_010130	3045
AFUB_010140	2293
AFUB_010150	163
AFUB_010160	818
AFUB_010170	5012
AFUB_010180	9507
AFUB_010190	1343
AFUB_010200	2011
AFUB_010210	374
AFUB_010220	1539
AFUB_010230	2741
AFUB_010240	1285
AFUB_010250	211
AFUB_010260	441
AFUB_010270	747
AFUB_010280	5570
AFUB_010290	76
AFUB_010300	10852
AFUB_010310	608
AFUB_010320	2315
AFUB_010330	30818
AFUB_010340	2162
AFUB_010350	7081
AFUB_010360	3178
AFUB_010370	3600
AFUB_010380	964
AFUB_010390	10647
AFUB_010400	1285
AFUB_010410	2442
AFUB_010420	984
AFUB_010430	35
AFUB_010440	0
AFUB_010450	41
AFUB_010460	19
AFUB_010470	120
AFUB_010480	0
AFUB_010490	1114
AFUB_010500	3660
AFUB_010510	4589
AFUB_010520	1004
AFUB_010530	42
AFUB_010540	5952
AFUB_010550	3776
AFUB_010560	48605
AFUB_010570	408
AFUB_010580	1638
AFUB_010590	8887
AFUB_010600	21
AFUB_010610	4660
AFUB_010620	22279
AFUB_010630	354
AFUB_010640	62
AFUB_010650	6734
AFUB_010660	38
AFUB_010670	1
AFUB_010680	1185
AFUB_010690	0
AFUB_010700	38
AFUB_010710	34
AFUB_010720	221
AFUB_010730	63
AFUB_010740	4
AFUB_010750	3
AFUB_010760	2
AFUB_010770	4
AFUB_010780	3
AFUB_010790	23
AFUB_010800	67
AFUB_010810	747
AFUB_010820	3800
AFUB_010830	389
AFUB_010840	781
AFUB_010850	17736
AFUB_010860	576
AFUB_010870	3071
AFUB_010880	9437
AFUB_010890	8243
AFUB_010900	2803
AFUB_010910	1025
AFUB_010920	4339
AFUB_010930	714
AFUB_010940	1610
AFUB_010950	687
AFUB_010960	151
AFUB_010970	251
AFUB_010980	1647
AFUB_010990	2747
AFUB_011000	129
AFUB_011010	9
AFUB_011020	76
AFUB_011030	42
AFUB_011040	8
AFUB_011050	49
AFUB_011060	675
AFUB_011070	608
AFUB_011080	66
AFUB_011090	74
AFUB_011100	4584
AFUB_011110	688
AFUB_011120	2577
AFUB_011130	1447
AFUB_011140	36315
AFUB_011150	7
AFUB_011160	52
AFUB_011170	14331
AFUB_011180	185
AFUB_011190	84
AFUB_011200	3746
AFUB_011210	2531
AFUB_011220	8454
AFUB_011230	864
AFUB_011240	1292
AFUB_011250	7
AFUB_011260	381
AFUB_011270	15
AFUB_011280	181
AFUB_011290	7
AFUB_011300	347
AFUB_011310	3267
AFUB_011320	8059
AFUB_011330	544
AFUB_011340	8519
AFUB_011350	2328
AFUB_011360	140
AFUB_011370	4187
AFUB_011380	4065
AFUB_011390	2377
AFUB_011400	10471
AFUB_011410	19067
AFUB_011420	9579
AFUB_011430	941
AFUB_011440	481
AFUB_011450	9151
AFUB_011460	1021
AFUB_011470	2940
AFUB_011480	228
AFUB_011490	904
AFUB_011500	3374
AFUB_011510	366
AFUB_011520	438
AFUB_011530	1606
AFUB_011540	2096
AFUB_011550	1616
AFUB_011560	881
AFUB_011570	27
AFUB_011580	3262
AFUB_011590	2164
AFUB_011600	649
AFUB_011610	740
AFUB_011620	5395
AFUB_011630	393
AFUB_011640	37297
AFUB_011650	6241
AFUB_011660	81
AFUB_011670	633
AFUB_011680	110
AFUB_011690	112
AFUB_011700	318
AFUB_011710	85
AFUB_011720	9462
AFUB_011730	3952
AFUB_011740	257
AFUB_011750	4300
AFUB_011760	4362
AFUB_011770	491
AFUB_011780	430
AFUB_011790	60
AFUB_011800	9435
AFUB_011810	5143
AFUB_011820	14398
AFUB_011830	5
AFUB_011840	2185
AFUB_011850	2055
AFUB_011860	6584
AFUB_011870	104
AFUB_011880	43
AFUB_011890	0
AFUB_011900	2
AFUB_011910	175
AFUB_011920	546
AFUB_011930	218
AFUB_011940	8
AFUB_011950	1228
AFUB_011960	6076
AFUB_011970	7
AFUB_011980	100
AFUB_011990	1472
AFUB_012000	18707
AFUB_012010	2618
AFUB_012020	12307
AFUB_012030	433
AFUB_012040	1236
AFUB_012050	254
AFUB_012060	8648
AFUB_012070	240
AFUB_012080	21999
AFUB_012090	1883
AFUB_012100	2684
AFUB_012110	134
AFUB_012120	474
AFUB_012130	4012
AFUB_012140	982
AFUB_012150	4980
AFUB_012160	533
AFUB_012170	2409
AFUB_012180	42
AFUB_012190	591
AFUB_012200	8543
AFUB_012210	2028
AFUB_012220	1544
AFUB_012230	3508
AFUB_012240	2196
AFUB_012250	830
AFUB_012260	2916
AFUB_012270	13060
AFUB_012280	1176
AFUB_012290	776
AFUB_012300	11322
AFUB_012310	25451
AFUB_012320	797
AFUB_012330	6
AFUB_012340	1455
