"","V1"
"AFUB_002470",3.71310993018993e-05
"AFUB_002480",0.632274282794753
"AFUB_002490",0.0164057453359847
"AFUB_002500",0.280280790303801
"AFUB_002510",0.0466763420878875
"AFUB_002520",0.352822678592671
"AFUB_002530",0.520409594940005
"AFUB_002540",0.361635994040555
"AFUB_002550",0.0674299280887715
"AFUB_002560",0.0289066108837121
"AFUB_002570",0.00221987597347325
"AFUB_002580",0.930181096514944
"AFUB_002590",0.163441856447387
"AFUB_002600",0.832976104684312
"AFUB_002660",0.757162929172778
"AFUB_002670",0.101120441778773
"AFUB_002680",0.00112140770690535
"AFUB_002710",0.338292442825314
"AFUB_002720",5.49858264920782e-06
"AFUB_002730",0.0218911126800159
"AFUB_002740",0.546943097471465
"AFUB_002750",0.00493792476685406
"AFUB_002760",0.000197949835365268
"AFUB_002770",0.00198173059232192
"AFUB_002780",0.328451548241718
"AFUB_002790",0.00141739969098072
"AFUB_002800",1.96032034923934e-05
"AFUB_002810",4.076713037627e-05
"AFUB_002820",0.437720598167008
"AFUB_002830",0.039822205135469
"AFUB_002840",0.0987911125904023
"AFUB_002850",0.00621464409820698
"AFUB_002860",0.000143961736012882
"AFUB_002870",0.00480140487868108
"AFUB_002880",0.229708794649135
"AFUB_002890",0.856264996217463
"AFUB_002910",0.11818701847427
"AFUB_002920",0.516571687409705
"AFUB_002930",0.298553923092822
"AFUB_002940",0.177177550523777
"AFUB_002950",0.192270911437194
"AFUB_002960",3.46268476046887e-05
"AFUB_002970",0.159477959294226
"AFUB_002980",0.00108307044377533
"AFUB_002990",0.640375976985092
"AFUB_003000",0.996150650089377
"AFUB_003010",0.0236661057592784
"AFUB_003040",0.249233719185717
"AFUB_003050",0.214602406455703
"AFUB_003070",0.144314713314212
"AFUB_003080",0.00445017850112284
"AFUB_003090",0.0919926187146306
"AFUB_003100",0.00244079015965717
"AFUB_003110",0.294637284834677
"AFUB_003120",0.0264393016230534
"AFUB_003150",0.134292637740708
"AFUB_003160",0.548752613429535
"AFUB_003170",0.29299188292212
"AFUB_003180",0.0474529350452154
"AFUB_003190",0.269386574610772
"AFUB_003200",0.307640152011359
"AFUB_003210",0.145302110207198
"AFUB_003220",0.00965430154880969
"AFUB_003230",0.0555749774694199
"AFUB_003240",0.626153906899785
"AFUB_003250",0.0658860854869247
"AFUB_003260",0.0122991414012395
"AFUB_003270",0.0106023018609004
"AFUB_003280",0.42570775095024
"AFUB_003290",0.0658576137141391
"AFUB_003300",0.161945634644861
"AFUB_003310",0.0621316343994668
"AFUB_003320",0.176820827020657
"AFUB_003330",0.0686785303319353
"AFUB_003350",0.409215185569786
"AFUB_003360",0.000295207152200756
"AFUB_003370",0.0251547868437076
"AFUB_003380",0.0201584300929
"AFUB_003390",0.27243534127403
"AFUB_003400",0.000607438029434559
"AFUB_003410",0.168592318373357
"AFUB_003420",0.619359437143164
"AFUB_003430",0.027738336696314
"AFUB_003440",0.00645741625244289
"AFUB_003450",0.445936856753223
"AFUB_003460",0.0365009287703053
"AFUB_003470",0.275730776191248
"AFUB_003480",0.0560853263484772
"AFUB_003490",0.00368389393079475
"AFUB_003500",8.49030245748368e-05
"AFUB_003510",0.0709477105199173
"AFUB_003520",0.875817101609164
"AFUB_003530",0.0192419091498758
"AFUB_003540",0.000330232524794131
"AFUB_003550",0.0179963848466244
"AFUB_003560",0.000101970996904595
"AFUB_003570",0.00344105563737854
"AFUB_003580",0.602504739697813
"AFUB_003600",0.00734594551703716
"AFUB_003610",5.77406386339127e-07
"AFUB_003630",0.784624669280531
"AFUB_003780",0.0545374303825727
"AFUB_003790",0.513889152970321
"AFUB_003800",0.3821628783952
"AFUB_003810",0.103869761779839
"AFUB_003820",0.0821887799835577
"AFUB_003830",0.724661796187791
"AFUB_003840",0.227033587330637
"AFUB_003850",0.0293004691827583
"AFUB_003860",0.859188716348469
"AFUB_003870",0.687358238248283
"AFUB_003900",0.225805379167222
"AFUB_003910",0.00354898633727507
"AFUB_003920",0.0406546528947163
"AFUB_003940",0.224723561260359
"AFUB_003950",0.00219816217225786
"AFUB_003960",0.000209440990696533
"AFUB_003970",0.421945405481443
"AFUB_003990",0.145091103261269
"AFUB_004000",0.000787989528480558
