Geneid	HISAT2 on Control2 (BAM)
66289	0
258238	0
258709	0
258756	0
546747	0
54418	28
23893	91
24012	11
14194	3143
98256	3444
13603	17
12663	53
75820	0
26909	6
319455	0
545389	182
723921	0
76816	88
15365	21
23797	137
30928	458
75589	0
69428	0
11566	788
631584	0
545391	0
78825	714
791357	6
75164	0
666295	9
320110	6
66359	546
51810	4110
68226	76
269152	2
69726	74
15278	414
226744	269
109232	60
226747	1344
100503705	0
226751	603
67426	9165
19165	3578
277333	0
320404	194
381310	10
11545	1021
72568	68
27217	0
170760	622
100504581	0
15078	856
208768	309
100504598	1
320202	0
100862334	0
69051	112
13590	6
208795	395
13849	5955
619326	211
67459	317
98417	272
226757	2243
329307	20
72978	0
403180	0
240960	0
98386	306
433384	0
13800	7
27058	1390
625823	0
13244	1590
67330	10
67948	328
209456	320
12334	1138
170725	8
433386	0
96935	14
53791	154
68897	92
71678	718
108909	232
338366	3519
21339	130
78772	12
73363	22
63953	55
73590	0
74971	0
15284	134
66112	8946
67247	7291
100316821	0
226777	4812
226778	33
98732	696
100217449	0
381314	1324
387189	1
387211	0
23827	1184
107508	2472
319562	0
100039138	47
226781	1846
114668	0
226791	295
21808	12
67223	190
110957	0
74717	0
69308	0
67769	277
100862400	48
26381	124
320272	0
22283	0
226823	337
16526	4
100042424	102
100039307	0
108000	39
19250	43
226830	757
19130	725
100504619	50
320119	223
52477	512
226841	2
226844	74
100125339	1
75558	0
68972	108
381318	30
381319	10
619288	0
11910	38
100504360	17
100861628	0
66208	74
66950	46
226849	2968
100504379	2
76843	31
77065	353
226856	3509
18005	138
98736	17
22782	805
74023	83
22033	63
100628582	0
100042625	366
214742	98
100038712	11
16510	2
226861	19
320952	0
73455	0
214791	0
100503471	0
329324	0
215193	201
54139	1663
319266	133
215243	20
15483	13891
14373	3
100503531	0
16780	104
215303	2
387201	0
74942	0
18845	638
100628615	0
12490	56
320400	0
320977	134
723963	0
387224	0
17221	12
12946	785
12902	27
215728	0
619314	0
670558	0
76142	3
70337	1978
213783	159
270685	76
83397	89
381990	137
66084	493
73419	270
100504234	0
13982	432
64009	1294
68632	101
22353	1
67141	27
108853	108
56533	1
100041224	0
18390	0
320495	18
215748	246
77777	4
237253	18
18537	710
320642	13
69912	90
407824	32
16798	939
23924	332
215751	654
100503695	4
67418	355
237256	62
100628581	0
68652	2087
338362	15
70097	914
791352	0
320825	15
620417	0
78808	337
215772	9
67844	914
382450	0
14816	0
78056	0
268281	305
71865	361
13853	79
22288	807
320273	4
74732	10
66125	468
22634	32
100862331	0
75122	0
353258	259
215789	159
66848	273
56535	525
66757	67
66253	149
15273	115
100504211	0
215798	29
100039571	58
66201	298
69412	0
76743	0
18101	0
100504235	0
17684	285
378431	0
380629	568
73112	196
19707	384
100045792	0
215814	324
215819	41
56016	8
215821	0
237300	0
73968	0
64058	2001
21929	47
100504265	0
94222	0
15979	504
237310	0
