Geneid	Mouse_Uninf_1_SRR17015118
70427	126
21830	0
237397	0
216148	2
100503607	0
382384	0
17123	0
110012	61
216150	451
16904	12
12215	1683
15166	0
216151	122
67112	0
70294	232
83554	1
73106	0
100503626	7
18483	145
78906	0
414101	19
19205	1644
216152	51
19152	27
50701	0
100503642	66
11537	0
216154	117
100862144	0
109284	390
114229	15
13496	2808
216156	167
170483	12
216157	447
12798	2671
27403	1503
70719	4935
66420	243
625249	378
216161	9366
20869	711
100503659	64
66043	118
100862154	0
59090	5545
12696	160
69770	24
13637	6
68114	125
75406	136
14431	4
70248	623
103232	17
20054	1780
23805	97
66374	444
18551	9
70335	3
66548	10
216166	0
237400	78
17192	126
100503758	1
66594	0
21423	310
246086	0
67331	0
66932	593
118445	222
216169	81
100113398	10
100862189	1
56214	131
103236	645
208198	54
17347	1644
208228	2113
71564	38
11776	2599
208266	1313
78670	299
20222	436
11705	12
71912	0
18245	584
100316778	1
237403	4
66094	19
73218	91
432478	5
30055	160
16907	118
17873	8221
14708	12
208666	0
106947	59
52551	619
50492	73
208677	4
26396	567
16969	2639
59004	485
13629	9585
100217454	19
100503773	0
13144	168
69678	1
69564	0
16467	0
103406	4
17179	322
66047	326
57267	394
100526465	1
27375	67
18717	1946
70312	250
21390	8
209047	0
15353	227
73822	249
432479	175
56371	451
102115	120
100503793	16
72273	9
18029	253
319586	2
103425	418
13611	482
14676	428
14672	108
14797	505
21886	5
114606	0
268319	16
50721	104
70615	8
100233208	5
666448	0
73610	0
100040944	0
666738	0
666501	0
331188	0
666548	0
100038681	6
666790	3
408062	30
327780	1
216177	34
237411	30
100503696	0
237412	10
432480	0
100862390	0
544717	5
21665	113
74782	18
67933	501
18045	469
70003	4
50493	5290
66341	260
58250	3957
338365	198
28109	760
216188	31
319277	3160
216190	224
69784	0
77976	14
216197	2910
442847	14
216198	2578
100503200	68
70428	547
71137	3
625690	0
237422	167
14202	4
103266	205
74238	35
12952	1126
74007	16
626858	3
626940	2
100503271	0
103136	704
72843	475
67341	0
28088	754
270757	0
69754	161
27204	78
78170	0
21859	10
100503291	1
627035	0
382395	0
66263	7
22027	11819
103220	0
103466	680
192188	22
83559	0
76640	2
100038674	0
17172	0
18478	0
16000	325
100503785	13
22172	1
110312	0
75317	7
626115	2
69736	51
67282	108
71712	1018
432486	1310
20962	13
212862	165
109272	2
20728	27
237433	4
104303	384
70683	1327
216225	1
320091	0
237436	555
20186	0
216227	1
213326	1317
67019	72
75089	4178
77531	8
100043039	0
11783	2625
67454	35
18674	1041
100861804	0
21917	2523
100503982	9
723955	0
110333	0
100526517	0
627800	0
667203	0
17997	201
380653	0
380654	16
237459	1897
100316689	5
13713	792
432488	0
16993	873
15109	69
71761	0
237465	11
69878	31
74454	1
57764	5
667338	0
100504069	0
327799	7
56307	1466
74923	0
723908	2
215008	193
13998	840
22025	74
66414	19
100861832	0
215472	0
319880	134
67723	40
77048	880
54712	2012
12905	51
69629	0
216233	307
70523	0
67270	98
93765	472
71207	2282
100526463	7
216238	3600
100504157	0
12226	11882
75301	0
100628616	0
13179	44
17022	0
75025	0
16545	0
13516	0
100038699	0
66716	0
791295	0
667438	0
67972	14340
382406	307
14426	1026
100861874	0
67603	1057
100504202	0
100417125	0
71832	3
17311	108
100043224	0
100043227	0
100043231	0
100043235	0
100043239	0
100043247	0
237500	137
216274	118
68281	11
66605	0
67569	0
100526516	0
67405	0
237504	0
216285	0
74978	0
103098	0
100861880	0
100861891	0
100861901	0
637578	0
100043292	0
278279	152
327812	6
216292	131
52713	314
639162	1
321001	0
327814	0
380660	0
108030	0
17877	0
17878	0
237523	0
628870	2
17931	3296
114774	4
20979	0
368203	0
260315	2
109335	0
52679	2
75630	0
13008	30
320150	509
432502	4
237542	6480
71769	71
53605	761
382421	4
21664	105
71321	0
629206	0
52705	945
73690	663
69286	0
67537	0
544736	0
353025	0
268345	0
69355	0
382423	1473
237553	0
216343	1
100861951	0
66687	2542
668041	51
216344	1003
100038558	8
67226	248
66816	116
216345	3369
14160	0
100861970	0
77798	0
216350	0
19279	2
619332	0
19263	0
58802	0
67342	0
100504412	0
72068	953
100504423	21
72286	0
237558	0
216363	64
71086	20
103175	0
544741	22
382427	0
100038610	0
237560	0
100862026	0
12461	1756
327826	570
64050	362
77397	0
17105	32873
17110	868
432508	1391
70574	67
17246	2338
215436	126
103468	278
100862040	250
215449	2297
71067	0
17245	307
50929	0
116849	0
668198	0
668203	0
668205	0
668209	0
668213	0
668216	0
15978	51
69181	330
100038589	0
97640	0
73400	0
71902	1348
67081	0
74053	0
75321	0
117599	374
73914	3398
68212	256
100504548	0
66225	9
15364	0
321010	17
320626	0
791076	0
100038546	0
70874	0
320183	9
100504616	10
380664	656
24117	0
100504636	0
74694	52
75612	7971
