Geneid	Mouse_Uninf_3_SRR17015120
100503268	2
226594	5326
100503283	145
433375	4692
12503	320
18986	2279
240892	0
59290	0
98558	0
100039795	28
100503318	56
27878	675
71592	1545
226601	0
226604	0
240894	0
100503962	46
226610	837
80914	534
68944	1294
100862084	5
56752	2333
66447	118
240899	0
100503977	0
20183	81
110648	0
18514	997
66977	84
19737	0
100862094	0
19736	0
78465	0
15490	377
67303	8
18214	14
107652	3217
16589	2181
545378	0
622708	12
26904	163
665574	52
76925	8
70729	41
320078	43
226641	7465
80915	468
435653	22
98752	2429
14130	7613
246256	1531
14131	17439
75472	20
66052	1840
17528	0
66425	43
12355	4
641376	612
11807	10
14127	5146
226646	2793
240913	4
57370	826
19044	703
30941	573
66155	839
100862110	0
100504072	92
21945	957
27045	465
18637	330
68874	108
71740	187
226652	17143
22278	1529
226654	73
16456	158
56009	134
16429	0
18106	4394
17085	2295
75345	1050
12506	3802
100041098	108
27218	174
12523	11374
100038548	1316
100862186	8
30925	664
93840	21
18071	0
59287	3998
12847	12905
100504176	0
19298	1470
98193	3454
18611	1632
12372	9
27222	4
98660	2
140559	2395
16524	4
16513	17
67556	3290
100862199	2
98365	763
93842	260
21346	12614
71870	116
71319	54
240916	5
74748	404
677296	2
68440	355
100040320	0
12944	0
20219	0
18313	0
258759	0
258758	0
258880	0
258881	0
14125	636
258645	2
100504232	0
13349	4
94332	53
383619	2221
240921	591
545384	228
623121	196
236312	3948
100033459	106
100504251	2
226691	3833
15951	4226
100504287	89
666028	0
100040462	3977
381308	457
15950	4814
26388	0
226695	205
258712	3
258711	0
258713	0
258717	0
259162	0
404222	0
258716	0
258715	0
258302	0
20739	804
258710	0
66289	0
258238	0
258709	0
258756	0
546747	0
54418	2
23893	0
24012	0
14194	1453
98256	786
13603	120
12663	1193
75820	0
26909	111
319455	0
545389	7440
723921	7
76816	1218
15365	490
23797	2508
30928	1927
75589	2
69428	6
11566	4329
631584	0
545391	2
78825	1817
791357	53
75164	0
666295	82
320110	14
66359	924
51810	21134
68226	135
269152	2
69726	310
15278	167
226744	1151
109232	223
226747	9215
100503705	0
226751	1151
67426	451
19165	1426
277333	11
320404	3591
381310	29
11545	4732
72568	325
27217	0
170760	2862
100504581	0
15078	924
208768	1661
100504598	4
320202	0
100862334	0
69051	465
13590	30
208795	1687
13849	1862
619326	0
67459	2273
98417	1291
226757	16950
329307	139
72978	0
403180	0
240960	158
98386	6060
433384	14
13800	125
27058	1058
625823	0
13244	6371
67330	47
67948	1481
209456	1247
12334	8908
170725	0
433386	0
96935	0
53791	156
68897	295
71678	1808
108909	2070
338366	6484
21339	471
78772	0
73363	37
63953	664
73590	0
74971	0
15284	381
66112	19
67247	1786
100316821	4
226777	2
226778	0
98732	3767
100217449	12
381314	2384
387189	9
387211	10
23827	709
107508	8285
319562	13
100039138	0
226781	0
114668	0
226791	93
21808	12226
67223	908
110957	2
74717	1
69308	1
67769	793
100862400	170
26381	4
320272	0
22283	2
226823	1057
16526	0
100042424	259
100039307	0
108000	431
19250	110
226830	413
19130	109
100504619	0
320119	1075
52477	2264
226841	46
226844	1531
100125339	5
75558	2
68972	189
381318	101
381319	152
619288	4
11910	1225
100504360	65
100861628	2
66208	36
66950	634
226849	3454
100504379	99
76843	183
77065	1500
226856	3791
18005	230
98736	10
22782	1229
74023	50
22033	739
100628582	6
100042625	58
214742	341
100038712	15
16510	4
226861	80
320952	0
73455	0
214791	2
100503471	0
329324	18
215193	1219
54139	115
319266	502
215243	2267
15483	352
14373	0
100503531	0
16780	33
215303	1
387201	0
74942	0
18845	110
100628615	0
12490	239
320400	137
320977	1065
723963	0
387224	0
17221	111
12946	2510
12902	882
215728	0
619314	0
670558	2
76142	33
70337	0
213783	2523
270685	1617
83397	173
381990	643
66084	559
73419	805
100504234	31
13982	77
64009	6045
68632	0
22353	0
67141	208
108853	415
56533	0
100041224	0
18390	65
320495	1904
215748	190
77777	161
237253	72
18537	1415
320642	50
69912	293
407824	153
16798	3844
23924	1112
215751	968
100503695	7
67418	2603
237256	2439
100628581	11
68652	5080
338362	542
70097	2444
791352	0
320825	6
620417	0
78808	2251
215772	2773
67844	6215
382450	0
14816	40
78056	0
268281	3448
71865	1172
13853	24
22288	5543
320273	27
74732	951
66125	733
22634	17
100862331	0
75122	1
353258	1559
215789	1464
66848	1814
56535	403
66757	109
66253	78
15273	4631
100504211	415
215798	1484
100039571	8
66201	1013
69412	2
76743	0
18101	0
100504235	4
17684	397
378431	28
380629	1899
73112	1417
19707	1318
100045792	5
215814	137
215819	34
56016	11
215821	8
237300	0
73968	0
64058	40
21929	1557
100504265	3
94222	0
15979	7142
237310	12
237313	0
76157	1
18634	650
26408	4291
17761	174
73811	0
621697	39
72567	6123
71804	49
29863	211
52906	399
100038717	16
100504283	7
17863	505
56422	875
73990	29
237320	2
76924	1
67692	0
432436	0
20393	2549
114671	0
319887	48
379043	9
667281	436
606736	1576
56554	41
100038752	2
353169	32
237336	1188
100504411	0
100038582	0
21412	0
14051	23
20042	4790
100529074	135
100529075	94
76306	26
26464	415
22361	0
111174	0
209512	0
493809	0
209513	0
215854	0
215855	0
215856	0
209517	0
435206	0
276742	0
435207	0
215859	0
382348	0
494546	0
503558	0
53331	4801
100862153	0
59012	0
14219	2
18605	1492
209558	2
70208	2381
11846	46443
432442	1921
13822	4769
100504474	0
73803	0
215866	0
77220	0
100040851	0
268288	155
237339	663
667572	1
73910	1969
16773	0
100040961	0
19272	0
210757	254
100504516	34
114676	37
67719	0
67412	0
212448	0
52665	204
68031	1253
72780	3
100504540	0
66311	37
73681	621
100504586	348
66847	238
211329	1823
15214	0
69692	224
21987	1
100041294	15
268291	42
432450	0
76757	0
442820	0
100862254	0
215890	0
215895	0
57430	0
212892	16
72580	1250
414093	164
66521	784
692132	0
270711	0
103511	0
215900	86
212898	4856
22110	2717
72480	400
319638	1103
12813	234
14302	13
100041585	0
319415	0
15182	1956
17118	7477
215919	0
16775	8
66337	9
71924	48
327743	2
14360	3547
100504626	66
103213	738
327744	174
19714	3279
100504659	32
213332	64
75299	2
72045	3
100041085	20
215928	26
215929	0
72472	2147
67239	979
67371	654
19850	2186
11702	460
78334	2771
70840	0
70503	1
327747	0
71713	2182
83767	2
100504721	57
140741	0
103199	2082
633979	5
268294	650
171580	2700
20598	326
73075	4
53599	5946
75973	11
70538	0
629461	0
100628609	0
103268	209
140742	2483
213402	114
624784	13
56484	1579
215951	254
666540	17
54198	4137
21907	0
14628	2151
140740	3655
268297	1216
109205	12
74530	0
71365	216
331623	561
67851	193
100862325	1
12484	9530
414125	47
69443	73
76563	485
170728	838
11630	3845
70365	0
11793	1529
100316688	6
12142	510
19072	3211
78977	0
23828	0
380669	0
209462	660
320363	0
100418235	0
14806	43
100504076	0
77987	6421
20464	0
14727	6780
14728	9856
77296	1
210198	0
320995	0
71090	0
215031	0
19886	0
66686	29
94221	1617
66650	0
52014	3649
629689	0
22639	20
215085	0
100862347	0
100038725	651
100502820	24
18821	171
432460	1
100502868	2
71567	941
66403	811
100042554	40
75906	12
17155	14435
100502920	13
544696	476
73390	182
14609	103
100862378	0
791298	0
74928	3
15500	590
56442	7689
18768	859
12140	1216
100502970	15
57319	9221
100504180	0
74399	0
245263	0
791309	18
70297	1851
110829	6686
19386	17536
76138	39
13608	0
103505	0
237353	2
103080	269
268301	1755
18451	3310
69836	0
18302	36
215999	2458
216001	2003
56709	581
100503588	41
74747	448
52717	897
69090	440
94214	42
53374	2400
19156	71420
22295	501
74048	17539
100302688	84
71279	2386
107449	39
100503834	0
73616	2
327760	0
13180	15
20397	10689
65971	1
237360	155
100862379	0
18646	206
27355	479
18119	8
13688	2009
100503821	489
216011	300
237362	6
67895	1132
20224	4790
71767	698
71361	1510
404634	79
100628583	0
12817	0
432466	422
69894	7
11925	0
70423	6
21337	0
15275	6206
70162	26
216019	0
338359	675
74706	24
30930	3325
19073	41625
72320	864
56200	10588
100862011	0
94213	2209
216021	23
67500	4056
100217463	6
52463	108
73132	950
327762	842
70432	1406
432467	201
67307	6
68371	38
53404	0
68802	0
641387	43
67345	7502
100502721	504
93759	1213
30045	92
216033	0
791346	0
216028	0
100502808	1
69433	0
28193	6288
108829	15640
641340	306
13654	224
211488	1675
100038508	8
216049	10
170799	2
71371	1528
100503521	0
75148	0
73287	12
327766	22
69288	465
320700	72
12534	194
11735	5
76551	2065
69563	0
66859	4
71721	4
70911	0
319646	0
83675	4
319572	0
21780	1291
216080	681
52637	230
69718	2079
622812	0
108950	0
100040505	33
52696	1004
327768	0
100861952	0
11994	2
71236	0
14687	51
76877	11
110279	656
74392	3877
11540	811
544707	11
103149	156
71125	0
68778	2764
67332	1189
192734	22
14598	26
23887	365
100503432	18
71733	19
104248	3409
13202	245
103140	96
14871	24
75886	0
14872	178
17319	432
70377	180
20587	1284
100861975	0
17385	9
103172	62
333670	4
22364	56
333669	24
64453	580
64454	0
64452	0
15468	629
751554	0
20203	9
64451	1048
18541	2341
67523	5
76964	0
216119	135
54387	2728
16987	234
74953	12
76573	0
14317	0
12834	21
100861980	0
12833	32
59093	40
100038479	0
20509	412
12822	291
100169878	0
80294	1442
110532	1292
100045653	2
108707	1071
16414	51814
108705	2776
20610	2838
22213	1578
100316811	6
100502831	0
670895	0
16697	0
100009614	0
100502921	0
16694	0
100502953	0
77763	0
100041250	0
100041261	0
634517	0
100041281	0
634504	0
675294	0
100503388	0
670880	0
100040299	0
100191037	2
544710	0
622629	0
100041351	0
252974	11
75188	0
237387	52
28240	2768
67884	251
18641	7574
11634	0
54427	4
50723	1079
100503488	0
28295	306
110816	1635
216131	4557
28169	1811
18114	3540
13014	1439
216134	1742
791283	2
258224	0
216136	637
71709	34
257883	2
12365	0
70976	0
20513	0
258305	0
257734	0
259163	0
18372	0
259044	0
259074	0
259042	0
18357	2
72128	906
624765	0
216144	0
624845	0
625029	0
50784	325
70427	570
21830	0
237397	0
216148	2
100503607	0
382384	0
17123	0
110012	344
216150	1254
16904	34
12215	7527
15166	9
216151	690
67112	3
70294	839
83554	7
73106	15
100503626	50
18483	1252
78906	9
414101	128
19205	6238
216152	252
19152	717
50701	4
100503642	409
11537	0
216154	834
100862144	0
109284	676
114229	28
13496	2233
216156	950
170483	34
216157	1983
12798	6100
27403	3502
70719	21439
66420	1822
625249	1155
216161	10465
20869	1785
100503659	229
66043	487
100862154	0
59090	5734
12696	1231
69770	170
13637	2
68114	1010
75406	902
14431	85
70248	2503
103232	92
20054	10966
23805	182
66374	1218
18551	27
70335	10
66548	733
216166	0
237400	217
17192	583
100503758	0
66594	1
21423	2485
246086	0
67331	0
66932	2198
118445	664
216169	717
100113398	50
100862189	1
56214	828
103236	2760
208198	525
17347	3760
208228	4396
71564	170
11776	5628
208266	1889
78670	1027
20222	1524
11705	14
71912	5
18245	2387
100316778	1
237403	2
66094	127
73218	495
432478	26
30055	761
16907	747
17873	457
14708	52
208666	0
106947	415
52551	1620
50492	621
208677	7
26396	1739
16969	4845
59004	797
13629	49565
100217454	41
100503773	0
13144	674
69678	1
69564	12
16467	19
103406	33
17179	241
66047	749
57267	556
100526465	0
27375	130
18717	4739
70312	914
21390	112
209047	6
15353	656
73822	566
432479	324
56371	1199
102115	626
100503793	34
72273	48
18029	1592
319586	0
103425	3238
13611	1422
14676	1348
14672	869
14797	2453
21886	17
114606	18
268319	109
50721	389
70615	131
100233208	17
666448	0
73610	8
100040944	21
666738	0
666501	0
331188	7
666548	0
100038681	39
666790	15
408062	363
327780	36
216177	570
237411	227
100503696	0
237412	157
432480	0
100862390	0
544717	115
21665	302
74782	27
67933	1005
18045	938
70003	12
50493	4579
66341	139
58250	1403
338365	1711
28109	2013
216188	57
319277	6443
216190	1719
69784	0
77976	365
216197	3896
442847	60
216198	3523
100503200	93
70428	2265
71137	2
625690	1
237422	911
14202	9
103266	421
74238	162
12952	549
74007	93
626858	0
626940	0
100503271	3
103136	1902
72843	1176
67341	0
28088	4115
270757	4
69754	656
27204	432
78170	0
21859	63
100503291	0
627035	1
382395	0
66263	70
22027	36339
103220	56
103466	900
192188	15
83559	0
76640	0
100038674	0
17172	0
18478	0
16000	4894
100503785	33
22172	2
110312	4
75317	100
626115	7
69736	284
67282	540
71712	1583
432486	3057
20962	15
212862	275
109272	0
20728	6
237433	14
104303	1057
70683	6828
216225	0
320091	0
237436	488
20186	0
216227	7
213326	1906
67019	345
75089	3674
77531	93
100043039	1
11783	4520
67454	409
18674	2850
100861804	0
21917	5861
100503982	13
723955	0
110333	2
100526517	0
627800	0
667203	0
17997	1272
380653	0
380654	39
237459	2765
100316689	6
13713	1608
432488	16
16993	2513
15109	2837
71761	8
237465	52
69878	129
74454	2
57764	86
667338	1
100504069	7
327799	15
56307	4553
74923	0
723908	0
215008	810
13998	4557
22025	662
66414	90
100861832	1
215472	0
319880	2082
67723	310
77048	1376
54712	3725
12905	122
69629	0
216233	316
70523	9
67270	614
93765	969
71207	2420
100526463	16
216238	4025
100504157	0
12226	7705
75301	0
100628616	0
13179	117
17022	0
75025	0
